Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,Detection_Time,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB
24,6,172.16.0.5,2407502454,0.805353,100,0,0,0,89,11,0,0,0,0,16,16,628,0,334427.124,0,210180759.1,0,0,0,0,0,0,0,0,0
25,6,10.1.1.2,2550164764,0.8319,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0,159755.195,0,0.18,81794659.84,0,0,0,1,2,0,1
26,6,172.16.0.5,2407502454,0.868965,100,0,0,0,85,15,0,0,0,0,16,16,664,0,402439.891,0,267606429.8,0,0,0,0,0,0,0,0,0
27,6,150.5.142.50,2592101055,0.899469,100,0,27,1,1,71,0,0,0,0,1,14,1191,0,-1,-1,0,0,0,0,0,0,0,0,0,0
28,6,172.16.0.5,2407502454,0.938335,100,0,0,0,85,15,0,0,0,0,16,16,654,0,369035.439,0,241378700.2,0,0,0,0,0,0,0,0,0
29,6,10.1.1.4,3743576265,0.956633,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,78830.114,0,0.15,45406145.43,0,0,0,1,4,0,1
30,6,150.5.240.98,2375168699,0.956948,87,13,0,0,1,86,13,0,0,0,1,15,1600,64,100194.82,14971.64,160385419.2,0,958184.949,0,0,0,0,0,0,0
31,6,10.1.1.2,2550164764,0.992836,0,100,0,0,0,0,0,0,100,0,16,16,0,507,0,159069.564,0,0.18,80730984.92,0,0,0,1,2,0,1
32,6,10.1.1.8,3884774358,1.004455,0,100,0,0,0,0,0,0,95,5,16,16,0,584,-1,-1,0,0.16,0,0,0,0,1,8,0,1
33,6,172.16.0.5,2407502454,1.035286,100,0,0,1,82,17,0,0,0,0,16,16,671,0,264050.891,0,177273206.2,0,0,0,0,0,0,0,0,0
34,6,131.172.112.235,3883364168,1.061474,100,0,0,0,0,100,0,0,0,0,1,4,1626,0,47201.551,0,76791259.14,0,0,0,0,0,0,0,0,0
35,6,203.84.173.80,3285982007,1.061474,0,100,0,0,0,0,0,0,0,100,4,1,0,1626,0,47201.551,0,0,76791259.14,0,0,0,0,0,0,0
36,6,172.16.0.5,2407502454,1.138439,100,0,0,2,86,12,0,0,0,0,16,16,621,0,248175.064,0,154225911.9,0,0,0,0,0,0,0,0,0
37,6,172.16.0.5,2407502454,1.246318,100,0,0,0,89,11,0,0,0,0,16,16,633,0,237302.548,0,150354894.5,0,0,0,0,0,0,0,0,0
38,6,150.5.240.98,2375168699,1.250884,91,9,0,0,2,89,9,0,0,0,2,16,1692,64,79255.344,7838.441,134166233.8,0,501660.201,0,0,0,0,0,0,0
39,6,10.1.1.2,2550164764,1.265946,0,100,0,0,0,0,0,1,99,0,16,16,0,507,0,93735.155,0,0.18,47572465.84,0,0,0,1,2,0,1
40,6,10.1.1.4,3743576265,1.278772,0,100,0,0,0,0,0,0,100,0,16,15,0,576,0,79468.795,0,0.15,45774025.71,0,0,0,1,4,0,1
41,6,203.82.141.124,3489922677,1.338007,57,43,0,0,0,57,43,0,0,0,1,7,1518,64,-1,-1,0,0,0,0,0,0,0,0,0,0
42,6,172.16.0.5,2407502454,1.340286,100,0,0,0,85,15,0,0,0,0,16,16,661,0,272433.416,0,180111180.2,0,0,0,0,0,0,0,0,0
43,6,133.55.236.238,634785314,1.388488,100,0,0,0,0,100,0,0,0,0,4,1,1606,0,-1,-1,0,0,0,0,0,0,0,0,0,0
44,6,153.175.77.252,1995299814,1.388488,0,100,0,0,0,0,0,0,0,100,1,4,0,1606,-1,-1,0,0,0,0,0,0,0,0,0,0
45,6,150.5.240.98,2375168699,1.419307,89,11,0,0,0,89,11,0,0,0,2,16,1640,64,135278.486,16719.813,221893196.8,0,1070068.025,0,0,0,0,0,0,0
46,6,172.16.0.5,2407502454,1.423473,100,0,0,0,87,13,0,0,0,0,16,16,656,0,307740.01,0,202074400.2,0,0,0,0,0,0,0,0,0
47,6,150.5.142.50,2592101055,1.426347,100,0,4,0,0,96,0,0,0,0,1,12,1584,0,48588.109,0,76994661.44,0,0,0,0,0,0,0,0,0
48,6,153.108.249.208,2602208853,1.426347,0,100,0,0,0,0,0,1,1,98,11,1,0,1670,-1,-1,0,0,0,0,0,0,0,0,0,0
49,6,10.1.1.7,1673646831,1.43466,0,100,0,0,0,0,0,0,100,0,15,16,0,260,-1,-1,0,0.12,0,0,0,0,1,7,0,1
50,6,10.1.1.2,2550164764,1.451366,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0,138064.907,0,0.18,70689232.19,0,0,0,1,2,0,1
51,6,172.16.0.5,2407502454,1.495916,100,0,0,0,91,9,0,0,0,0,16,16,599,0,353381.238,0,211915660.8,0,0,0,0,0,0,0,0,0
52,6,150.5.240.98,2375168699,1.57096,90,10,0,0,1,89,10,0,0,0,2,16,1714,64,151925.726,16880.636,260474969.9,0,1080360.721,0,0,0,0,0,0,0
53,6,133.27.66.83,727272566,1.579951,100,0,0,0,0,100,0,0,0,0,1,2,1520,0,-1,-1,0,0,0,0,0,0,0,0,0,0
54,6,172.16.0.5,2407502454,1.581134,100,0,0,0,93,7,0,0,0,0,16,16,567,0,300406.184,0,170534582.6,0,0,0,0,0,0,0,0,0
55,6,115.91.7.232,536866018,1.582171,27,73,27,0,0,0,0,5,0,68,2,1,64,1608,-1,-1,0,0,0,0,0,0,0,0,0,0
56,6,172.16.0.5,756589082,1.616397,78,22,78,0,0,0,22,0,0,0,16,16,64,64,24381.392,6876.803,1560409.105,0,440115.389,78,0,0,0,0,0,0
57,6,10.1.1.5,2060384384,1.616397,22,78,22,0,0,0,78,0,0,0,16,16,64,64,6876.803,24381.392,440115.389,0,1560409.105,0,78,1,0,0,1,0
58,6,10.1.1.2,2550164764,1.627107,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0,145668.748,0,0.18,74302715.14,0,0,0,1,2,0,1
59,6,10.1.1.4,3743576265,1.630453,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,72793.243,0,0.15,41928907.87,0,0,0,1,4,0,1
60,6,172.16.0.5,2407502454,1.658924,100,0,0,0,89,11,0,0,0,0,15,16,627,0,329091.05,0,206405906.7,0,0,0,0,0,0,0,0,0
61,6,114.147.225.19,4277500876,1.663799,0,100,0,0,0,0,1,0,0,99,11,1,0,1626,-1,-1,0,0,0,0,0,0,0,0,0,0
62,6,114.188.89.94,3123670208,1.679359,0,100,0,0,0,0,0,0,2,98,2,1,0,1687,-1,-1,0,0,0,0,0,0,0,0,0,0
63,6,10.1.1.3,159023198,1.684231,0,100,0,0,0,0,0,0,0,100,16,16,0,1496,-1,-1,0,0.14,0,0,0,0,1,3,0,1
64,6,150.5.142.50,2592101055,1.700565,100,0,7,1,0,92,0,0,0,0,1,13,1528,0,93356.353,0,142678380.8,0,0,0,0,0,0,0,0,0
65,6,172.16.0.5,2407502454,1.713653,100,0,0,1,86,13,0,0,0,0,16,16,644,0,467759.453,0,301461612.2,0,0,0,0,0,0,0,0,0
66,6,150.5.240.98,2375168699,1.722542,87,13,0,0,0,87,13,0,0,0,2,14,1707,64,146930.372,21955.113,250869254.5,0,1405127.233,0,0,0,0,0,0,0
67,6,10.1.1.2,2550164764,1.758159,0,100,0,0,0,0,0,1,99,0,16,15,0,503,0,195342.637,0,0.18,98265159.91,0,0,0,1,2,0,1
68,6,118.253.94.34,1536435742,1.764389,0,100,0,0,0,0,0,0,0,100,1,1,0,1514,-1,-1,0,0,0,0,0,0,0,0,0,0
69,6,172.16.0.5,2407502454,1.794653,100,0,0,0,89,11,0,0,0,0,15,16,616,0,316049.963,0,194787913.3,0,0,0,0,0,0,0,0,0
70,6,10.1.1.1,595229600,1.807878,0,100,0,0,0,0,0,3,5,92,16,16,0,1422,-1,-1,0,0.11,0,0,0,0,1,1,0,1
71,6,131.172.112.235,3883364168,1.853208,100,0,0,0,0,100,0,0,0,0,1,4,1680,0,32334.093,0,54321275.93,0,0,0,0,0,0,0,0,0
72,6,203.84.173.80,3285982007,1.853208,0,100,0,0,0,0,0,0,0,100,4,1,0,1680,0,32334.093,0,0,54321275.93,0,0,0,0,0,0,0
73,6,172.16.0.5,2407502454,1.881499,100,0,0,0,82,18,0,0,0,0,16,16,696,0,294774.274,0,205257222.7,0,0,0,0,0,0,0,0,0
74,6,10.1.1.4,3743576265,1.885616,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,100328.044,0,0.15,57788953.1,0,0,0,1,4,0,1
75,6,150.5.240.98,2375168699,1.903816,88,12,0,1,2,85,12,0,0,0,2,16,1694,64,124276.001,16946.727,210591332.6,0,1084590.554,0,0,0,0,0,0,0
76,6,10.1.1.8,3884774358,1.975695,0,100,0,0,0,0,0,0,93,7,16,16,0,622,0,26358.057,0,0.16,16396819.82,0,0,0,1,8,0,1
77,6,172.16.0.5,2407502454,1.982386,100,0,0,0,89,11,0,0,0,0,16,16,624,0,253749.093,0,158339434,0,0,0,0,0,0,0,0,0
78,6,150.5.142.50,2592101055,2.005509,100,0,7,0,0,93,0,0,0,0,1,11,1538,0,83949.829,0,129161849.5,0,0,0,0,0,0,0,0,0
79,6,2001:20E:FD1D:E822:9F03:8BE3:8FE3:1C1E,37261978,2.015871,100,0,3,0,5,92,0,0,0,0,2,10,1677,0,-1,-1,0,0,0,0,0,0,0,0,0,0
80,6,114.147.225.19,4277500876,2.026484,0,100,0,0,0,0,0,0,0,100,11,1,0,1651,0,70584.674,0,0,116549413.6,0,0,0,0,0,0,0
81,6,10.1.1.2,2550164764,2.062847,0,100,0,0,0,0,0,0,100,0,16,15,0,504,0,84020.316,0,0.18,42426898.56,0,0,0,1,2,0,1
82,6,172.16.0.5,2407502454,2.079184,100,0,0,0,79,21,0,0,0,0,16,16,722,0,264468.43,0,191094308.5,0,0,0,0,0,0,0,0,0
83,6,150.5.240.98,2375168699,2.130275,88,12,0,1,2,85,12,0,0,0,2,15,1557,64,99479.364,13565.368,154898413.9,0,868183.544,0,0,0,0,0,0,0
84,6,172.16.0.5,2407502454,2.164155,100,0,0,0,82,18,0,0,0,0,16,16,686,0,301279.433,0,206894612.5,0,0,0,0,0,0,0,0,0
85,6,192.194.5.113,1038875431,2.177884,82,18,0,0,0,82,18,0,0,0,1,2,1724,64,-1,-1,0,0,0,0,0,0,0,0,0,0
86,6,163.226.205.202,3459589348,2.177884,18,82,18,0,0,0,0,0,0,82,2,1,64,1724,-1,-1,0,0,0,0,0,0,0,0,0,0
87,6,10.1.1.4,3743576265,2.182531,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,86219.946,0,0.15,49662688.99,0,0,0,1,4,0,1
88,6,133.8.134.253,3706590190,2.262532,100,0,0,0,3,97,0,0,0,0,1,2,1372,0,-1,-1,0,0,0,0,0,0,0,0,0,0
89,6,220.132.79.91,1124590812,2.270312,0,100,0,0,0,0,0,0,2,98,1,1,0,1381,-1,-1,0,0,0,0,0,0,0,0,0,0
90,6,172.16.0.5,2407502454,2.304359,100,0,0,1,80,19,0,0,0,0,16,16,711,0,182591.143,0,129829606.4,0,0,0,0,0,0,0,0,0
91,6,150.5.240.98,2375168699,2.31296,92,8,0,0,0,92,8,0,0,0,2,16,1671,64,128921.271,11210.545,215511522.7,0,717474.899,0,0,0,0,0,0,0
92,6,172.16.0.5,756589082,2.335362,83,17,83,0,0,0,17,0,0,0,16,16,64,64,29553.602,6053.147,1891430.528,0,387401.433,83,0,0,0,0,0,0
93,6,10.1.1.5,2060384384,2.335362,17,83,17,0,0,0,83,0,0,0,16,16,64,64,6053.147,29553.602,387401.433,0,1891430.528,0,83,1,0,0,1,0
94,6,150.5.142.50,2592101055,2.342199,99,1,1,0,0,98,1,0,0,0,1,11,1699,64,75274.002,760.343,127932348.8,0,48661.981,0,1,0,0,0,0,0
95,6,10.1.1.2,2550164764,2.358327,0,100,0,0,0,0,0,0,100,0,15,16,0,512,0,86638.756,0,0.18,44359042.93,0,0,0,1,2,0,1
96,6,114.147.225.19,4277500876,2.364197,0,100,0,0,0,0,0,0,0,100,12,1,0,1711,0,75804.01,0,0,129727951.2,0,0,0,0,0,0,0
97,6,172.16.0.5,2407502454,2.370602,100,0,0,0,93,7,0,0,0,0,16,16,572,0,386454.926,0,221361381.5,0,0,0,0,0,0,0,0,0
98,6,131.172.112.235,3883364168,2.385317,100,0,0,0,0,100,0,0,0,0,1,4,1711,0,48110.442,0,82334285.23,0,0,0,0,0,0,0,0,0
99,6,203.84.173.80,3285982007,2.385317,0,100,0,0,0,0,0,0,0,100,4,1,0,1711,0,48110.442,0,0,82334285.23,0,0,0,0,0,0,0
100,6,172.234.187.124,1090731243,2.424109,90,10,0,0,0,90,0,10,0,0,1,1,1408,64,-1,-1,0,0,0,0,0,0,0,0,0,0
101,6,163.226.35.82,2507454335,2.424109,10,90,0,10,0,0,0,0,0,90,1,1,64,1408,-1,-1,0,0,0,0,0,0,0,0,0,0
102,6,172.16.0.5,2407502454,2.456994,100,0,0,2,80,18,0,0,0,0,16,15,686,0,296323.988,0,203491609.1,0,0,0,0,0,0,0,0,0
103,6,150.5.240.98,2375168699,2.471128,85,15,0,2,3,80,15,0,0,0,2,16,1484,64,137575.376,24278.008,204271919,0,1553792.487,0,0,0,0,0,0,0
104,6,2001:20E:FD1D:E822:9F03:8BE3:8FE3:1C1E,37261978,2.525468,100,0,0,0,4,96,0,0,0,0,1,9,1886,0,50235.768,0,94780828.82,0,0,0,0,0,0,0,0,0
105,6,10.1.1.4,3743576265,2.535374,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,72553.555,0,0.15,41790847.58,0,0,0,1,4,0,1
106,6,172.16.0.5,2407502454,2.58889,100,0,0,0,80,20,0,0,0,0,16,16,718,0,194092.287,0,139373789.6,0,0,0,0,0,0,0,0,0
107,6,150.5.142.50,2592101055,2.596271,100,0,6,0,0,94,0,0,0,0,1,14,1542,0,100758.859,0,155410464.9,0,0,0,0,0,0,0,0,0
108,6,150.5.240.98,2375168699,2.633979,94,6,1,0,2,91,6,0,0,0,2,16,1652,64,147766.891,9431.929,244173783.1,0,603643.469,0,0,0,0,0,0,0
109,6,10.1.1.2,2550164764,2.638968,0,100,0,0,0,0,0,1,99,0,16,16,0,502,0,91219.718,0,0.18,45828786.18,0,0,0,1,2,0,1
110,6,150.5.49.10,427065850,2.68222,100,0,100,0,0,0,0,0,0,0,5,2,64,0,-1,-1,0,0,0,0,0,0,0,0,0,0
111,6,172.16.0.5,2407502454,2.68467,100,0,0,0,87,13,0,0,0,0,16,16,643,0,267279.472,0,171914156.6,0,0,0,0,0,0,0,0,0
112,6,2001:902:E027:B381:E0FC:3FF:8000:8426,2013934617,2.687691,79,21,0,0,0,79,21,0,0,0,1,1,1536,73,-1,-1,0,0,0,0,0,0,0,0,0,0
113,6,240B:F95E:DE09:4A8F:5202:E287:53A9:F56,2876389540,2.687691,21,79,21,0,0,0,0,0,0,79,1,1,73,1536,-1,-1,0,0,0,0,0,0,0,0,0,0
114,6,114.147.225.19,4277500876,2.751598,0,100,0,0,0,0,0,0,0,100,15,1,0,1626,0,66081.381,0,0,107506477.3,0,0,0,0,0,0,0
115,6,10.1.1.7,1673646831,2.765288,0,100,0,0,0,0,0,0,100,0,16,16,0,260,0,19239.034,0,0.12,5011383.508,0,0,0,1,7,0,1
116,6,203.82.141.124,3489922677,2.775651,58,42,0,0,3,55,41,0,1,0,1,8,1484,68,10328.009,7478.903,15328189.68,0,512839.06,0,0,0,0,0,0,0
117,6,172.16.0.5,2407502454,2.785286,100,0,0,1,81,18,0,0,0,0,16,16,680,0,254432.75,0,173258525.2,0,0,0,0,0,0,0,0,0
118,6,150.5.240.98,2375168699,2.814926,88,12,1,0,2,85,12,0,0,0,3,14,1759,64,124500.499,16977.341,219030333.1,0,1086549.813,0,0,0,0,0,0,0
119,6,115.91.7.232,536866018,2.841128,14,86,14,0,0,0,0,4,2,80,2,1,64,1552,2846.801,17487.49,182195.24,0,27147090.8,0,0,0,0,0,0,0
120,6,150.5.142.50,2592101055,2.859661,100,0,5,0,0,95,0,0,0,0,1,15,1556,0,97194.251,0,151280907.7,0,0,0,0,0,0,0,0,0
121,6,10.1.1.4,3743576265,2.861885,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,78404.674,0,0.15,45161092.48,0,0,0,1,4,0,1
122,6,172.16.0.5,2407502454,2.881109,100,0,0,0,86,14,0,0,0,0,16,16,670,0,267159.103,0,179017972,0,0,0,0,0,0,0,0,0
123,6,10.1.1.2,2550164764,2.898475,0,100,0,0,0,0,0,1,99,0,16,15,0,502,0,98648.614,0,0.18,49561063.6,0,0,0,1,2,0,1
124,6,172.16.0.5,2407502454,2.947225,100,0,0,0,89,11,0,0,0,0,16,16,613,0,387197.704,0,237646462.6,0,0,0,0,0,0,0,0,0
125,6,240F:7EC8:713D:3FF1:6EBD:4EF7:9E8E:47DB,3653974281,2.971452,0,100,0,0,0,0,0,0,2,98,1,1,0,2067,-1,-1,0,0,0,0,0,0,0,0,0,0
126,6,114.147.225.19,4277500876,3.004307,0,100,0,0,0,0,0,0,0,100,16,1,0,1612,0,101302.324,0,0,163380387.7,0,0,0,0,0,0,0
127,6,150.5.240.98,2375168699,3.024142,80,20,0,0,0,80,20,0,0,0,3,15,1585,64,97889.319,24472.33,155213304.5,0,1566229.107,0,0,0,0,0,0,0
128,6,122.122.234.73,1837009339,3.027832,65,35,65,0,0,0,0,0,0,35,1,1,64,1536,-1,-1,0,0,0,0,0,0,0,0,0,0
129,6,150.5.142.50,2592101055,3.057371,100,0,7,1,1,91,0,0,0,0,1,16,1415,0,129482.551,0,183222989.1,0,0,0,0,0,0,0,0,0
130,6,172.16.0.5,2407502454,3.070607,100,0,0,0,85,15,0,0,0,0,16,16,672,0,207485.942,0,139563343.9,0,0,0,0,0,0,0,0,0
131,6,10.1.1.6,2126477730,3.075856,0,100,0,0,0,0,0,0,100,0,16,16,0,419,-1,-1,0,0.13,0,0,0,0,1,6,0,1
132,6,172.16.0.5,756589082,3.076941,78,22,78,0,0,0,22,0,0,0,16,16,64,64,26926.327,7594.605,1723284.915,0,486054.72,78,0,0,0,0,0,0
133,6,10.1.1.5,2060384384,3.076941,22,78,22,0,0,0,78,0,0,0,16,16,64,64,7594.605,26926.327,486054.72,0,1723284.915,0,78,1,0,0,1,0
134,6,10.1.1.2,2550164764,3.143241,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0,104589.691,0,0.18,53215234.81,0,0,0,1,2,0,1
135,6,172.16.0.5,2407502454,3.176601,100,0,0,0,83,17,0,0,0,0,16,16,688,0,241523.137,0,166167918,0,0,0,0,0,0,0,0,0
136,6,10.1.1.4,3743576265,3.214517,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,72596.919,0,0.15,41815825.24,0,0,0,1,4,0,1
137,6,10.1.1.8,3884774358,3.225412,0,100,0,0,0,0,0,0,96,4,16,16,0,593,0,20484.638,0,0.16,12166236.06,0,0,0,1,8,0,1
138,6,10.1.1.3,159023198,3.232033,0,100,0,0,0,0,0,0,0,100,16,16,0,1489,0,16539.584,0,0.14,24632070.97,0,0,0,1,3,0,1
139,6,172.16.0.5,2407502454,3.251304,100,0,0,0,90,10,0,0,0,0,16,16,617,0,342690.488,0,211645645.1,0,0,0,0,0,0,0,0,0
140,6,150.5.142.50,2592101055,3.25904,100,0,5,0,0,95,0,0,0,0,1,16,1524,0,126940.694,0,193518549.2,0,0,0,0,0,0,0,0,0
141,6,202.38.49.51,2367401384,3.269319,92,8,8,26,0,58,6,2,0,0,1,3,989,80,-1,-1,0,0,0,0,0,0,0,0,0,0
142,6,10.1.1.2,2550164764,3.29191,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0,172194.602,0,0.18,88163636.05,0,0,0,1,2,0,1
143,6,2001:20E:FD1D:E822:9F03:8BE3:8FE3:1C1E,37261978,3.317305,100,0,0,0,3,97,0,0,0,0,2,9,2120,0,32329.887,0,68570397.16,0,0,0,0,0,0,0,0,0
144,6,172.16.0.5,2407502454,3.32206,100,0,0,0,93,7,0,0,0,0,16,16,585,0,361805.765,0,211873456.2,0,0,0,0,0,0,0,0,0
145,6,150.5.240.98,2375168699,3.328445,83,17,1,0,2,80,17,0,0,0,3,15,1587,64,69825.157,14301.538,110858794.3,0,915298.447,0,0,0,0,0,0,0
146,6,131.172.112.235,3883364168,3.344146,100,0,0,0,0,100,0,0,0,0,1,4,1640,0,26699.236,0,43812378.68,0,0,0,0,0,0,0,0,0
147,6,203.84.173.80,3285982007,3.344146,0,100,0,0,0,0,0,0,0,100,4,1,0,1640,0,26699.236,0,0,43812378.68,0,0,0,0,0,0,0
148,6,114.147.225.19,4277500876,3.344413,0,100,0,0,0,0,0,0,0,100,16,1,0,1612,0,75270.649,0,0,121396502.1,0,0,0,0,0,0,0
149,6,10.1.1.1,595229600,3.349843,0,100,0,0,0,0,0,2,8,90,16,16,0,1409,0,16602.193,0,0.11,23407763.35,0,0,0,1,1,0,1
150,6,172.16.0.5,2407502454,3.398372,100,0,0,0,93,7,0,0,0,0,16,16,590,0,335465.695,0,198166295.5,0,0,0,0,0,0,0,0,0
151,6,133.55.236.238,634785314,3.413777,100,0,0,0,0,100,0,0,0,0,4,1,1690,0,12640.171,0,21373012.32,0,0,0,0,0,0,0,0,0
152,6,153.175.77.252,1995299814,3.413777,0,100,0,0,0,0,0,0,0,100,1,4,0,1690,0,12640.171,0,0,21373012.32,0,0,0,0,0,0,0
153,6,10.1.1.9,3428079016,3.416288,0,100,0,0,0,0,0,0,0,100,16,16,0,1531,-1,-1,0,0.1,0,0,0,0,1,9,0,1
154,6,2001:902:E027:B381:E0FC:3FF:8000:8426,2013934617,3.416466,88,12,0,0,0,88,12,0,0,0,1,1,1568,69,30912.146,4215.293,48492726.58,0,292260.29,0,0,0,0,0,0,0
155,6,240B:F95E:DE09:4A8F:5202:E287:53A9:F56,2876389540,3.416466,12,88,12,0,0,0,0,0,0,88,1,1,69,1568,4215.293,30912.146,292260.29,0,48492726.58,0,0,0,0,0,0,0
156,6,150.5.142.50,2592101055,3.454304,100,0,1,2,0,97,0,0,0,0,1,15,1612,0,131104.648,0,211361669.5,0,0,0,0,0,0,0,0,0
157,6,172.16.0.5,2407502454,3.465779,100,0,0,0,84,16,0,0,0,0,16,16,668,0,379781.776,0,253998051.8,0,0,0,0,0,0,0,0,0
158,6,10.1.1.4,3743576265,3.465779,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,101885.702,0,0.15,58686164.09,0,0,0,1,4,0,1
159,6,10.1.1.2,2550164764,3.467203,0,100,0,0,0,0,0,0,100,0,15,16,0,506,0,146041.027,0,0.18,74025275.76,0,0,0,1,2,0,1
160,6,131.172.112.195,3671652785,3.467953,100,0,0,0,7,93,0,0,0,0,1,1,1671,0,-1,-1,0,0,0,0,0,0,0,0,0,0
161,6,121.52.179.145,794064812,3.467953,0,100,0,0,0,0,0,0,7,93,1,1,0,1671,-1,-1,0,0,0,0,0,0,0,0,0,0
162,6,150.5.240.98,2375168699,3.513486,87,13,1,0,3,83,13,0,0,0,3,15,1659,64,120362.391,17985.185,199751764.2,0,1151051.833,0,0,0,0,0,0,0
